email_content,label
Congratulations! You have won a free iPhone. Click here to claim now.,1
"Dear user, your bank account has been locked. Verify your details immediately.",1
Limited time offer! Get 50% off on all products. Order now!,1
"Hi John, let's catch up this weekend at the cafe.",0
Your PayPal account has been compromised. Login now to secure it.,1
This is a reminder for your doctor's appointment tomorrow at 10 AM.,0
"Exclusive deal just for you! Buy one, get one free. Visit our store now.",1
"Dear customer, your package delivery has been delayed. Click here for details.",1
"Hey, are we still meeting for lunch today?",0
Earn $5000 per week working from home. No experience needed!,1
up,0
